"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Search entire store here...","Nom du bijou..."
"Search:","Rechercher:"
"Search","Rechercher"
"Newsletter","Abonnez-vous à la newsletter"
"Sign Up for Our Newsletter:","Soyez le 1er informé<br>de nos offres privilèges"
"Subscribe","Je m'abonne"
"shops","Nos boutiques"
"Main stone type","type de la pierre principale"
"Main stone weight","Poids de la pierre principale"
"Main stone color","Couleur"
"Purity","Pureté"
"Second stone weight","Poids de la pierre d'accompagnement"
"Number of stones","Nombre de pierres"
"Total stone weight","Poids total des pierres"
"Main stone shape","Forme de la pierre principale"
"Metal","Métal"
"Gold quality","Qualité de l'or"
"Total weight","Poids du bijou"
